train_mse,train_rmse,valid_mse,valid_rmse,test_mse,test_rmse,epoch_time
0.10876438171794667,0.32979445374042704,0.08914077424138557,0.29856452274405537,0.1109203131229151,0.33304701338236786,50.841699838638306
0.06213746555898357,0.24927387660760517,0.10380111445889645,0.3221818034261036,0.12596359387486397,0.3549135019619062,49.5609290599823
0.0553466585637936,0.23525870560681406,0.11146275906642288,0.3338603885854428,0.1453265107392023,0.3812171438159652,49.9844970703125
0.04952324571733798,0.2225381893458693,0.11272868595685,0.3357509284526999,0.15322770424051366,0.39144310472981086,50.11554932594299
0.04481399612847584,0.21169316504902996,0.10567430740547587,0.32507584869607875,0.1541868471724835,0.39266633058168293,49.521844148635864
0.040073462190040994,0.2001835712291121,0.1003344829366649,0.31675618847414,0.16262879281130155,0.40327260359625416,51.3391637802124
0.0365947322611084,0.19129749674553612,0.09324345290563105,0.3053579095187008,0.1680358052442898,0.4099217062370445,50.067168951034546
0.0335965707196138,0.18329367343041003,0.1014764363342498,0.3185536631938955,0.17683539203547602,0.42051800441298115,51.20633292198181
0.030875668766435667,0.17571473690739678,0.10406700155887938,0.3225941747131826,0.17847092479714774,0.4224581929577739,51.00040602684021
0.028316674695055388,0.16827559150113064,0.09899254904558726,0.3146308138844434,0.1813825742003246,0.42589033118905695,51.14426898956299
0.026077892336451528,0.16148650821802893,0.10311608118443209,0.32111692758936283,0.18389395468160122,0.42882858426369064,51.3720600605011
