train_mse,train_rmse,valid_mse,valid_rmse,test_mse,test_rmse,epoch_time
46.996242522436475,6.85538055270723,285.9276637490839,16.909395723948382,5.064161812061987,2.2503692612684674,2.471219778060913
45.30887231599717,6.73118654592169,285.76993859301814,16.904731248766367,5.012071085424395,2.2387655271207825,2.406744956970215
43.382590412715125,6.586546167204411,286.0352944507099,16.91257799540655,4.956151425334004,2.22624154694274,2.470770835876465
43.00917472423069,6.558138053154317,286.6585831232369,16.93099474700872,4.940486944940251,2.222720617833076,2.7448339462280273
42.40588732787541,6.511980292343905,287.1854982589755,16.94654826975026,4.91470236138169,2.2169127996792497,2.583230972290039
42.006342517383516,6.481230015775055,287.4733247286914,16.955038328729646,4.903845430031652,2.214462785876442,2.5200068950653076
41.7597405785606,6.462177696300265,287.85606085695326,16.96632137079082,4.8820279359836904,2.2095311575046166,2.395977020263672
41.09089516193148,6.410218027643949,288.0733652609017,16.97272415556506,4.877935523923952,2.2086048818029793,2.361974000930786
40.199456041199824,6.340304096902594,288.47901076845386,16.984669875168425,4.879416775666566,2.2089401928677392,2.7199831008911133
39.421085756733305,6.278621326113982,288.6462808455176,16.98959331018602,4.883157608196295,2.2097867788988816,2.63692307472229
38.82749301800652,6.231171079179782,288.80058106133606,16.994133724945677,4.893849106214475,2.2122045805518247,2.5847620964050293
38.309206534756555,6.189443152235632,288.8565204251448,16.995779488600835,4.9039257625894,2.2144809239615046,2.512718915939331
37.933126621208494,6.158987467206643,288.8563731785535,16.995775156742734,4.907640546987143,2.2153195135210506,2.4095940589904785
37.55872135654328,6.128517060149485,288.90573538286503,16.99722728514463,4.908631789148785,2.2155432266486668,2.63961124420166
37.09795180653769,6.090808797404306,288.9371060405803,16.99815007701074,4.915488387118482,2.217090071945315,2.3429789543151855
36.72549374065702,6.060156247214837,289.0816323729232,17.00240078262253,4.919443831507427,2.217981927678273,2.3595693111419678
36.31352973154613,6.02607083691738,289.0451880628791,17.001329008723967,4.926464367289252,2.219564003873115,2.4908859729766846
35.95787668644436,5.9964886964326345,289.17290474288166,17.005084673205296,4.930482755793491,2.2204690395935476,2.5473928451538086
35.60700358057779,5.967160428593972,289.2296525861739,17.006753146505478,4.934720755865176,2.221423137510091,2.4601237773895264
35.267772056942896,5.938667532110456,289.2027572897975,17.005962404103965,4.9399425537752295,2.222598153912495,2.6676642894744873
34.87108505112784,5.905174430203383,289.0510325232959,17.001500890312474,4.94265639828518,2.223208581821593,2.8527190685272217
34.50021623732552,5.873688469550077,289.0187148154878,17.000550426838767,4.946033066216235,2.223967865374011,2.6480889320373535
