Epoch,Train_MSE,Val_MSE,Val_RMSE,Temps_calcul_s
1,4.234587637063499,2.8399894321076222,1.685226819187145,2.9945030212402344
2,2.301829013869027,2.0504879773916485,1.4319525052848814,3.120924949645996
3,1.8869771511755258,1.7491196760925176,1.3225428825155416,2.9846179485321045
4,1.6481291233936204,1.5194442270793647,1.2326573843040753,3.0355889797210693
5,1.4646967471202956,1.3719855768031606,1.1713178803395603,3.0659091472625732
6,1.283451245906197,1.2215030052673037,1.1052162708118731,2.997586965560913
7,1.2003920518349265,1.1874221714439792,1.089689025109448,3.0283031463623047
8,1.126369681870826,1.0650230568146037,1.03199954303023,3.0594818592071533
9,1.0631877367741593,1.1972861230094856,1.0942057041568947,2.997868061065674
10,1.0115108918920857,0.9362179975016652,0.9675835868294094,3.0195472240448
11,0.881859662655358,0.8332445630542585,0.9128223063960798,2.993034839630127
12,0.7997393886619639,0.7590775984539607,0.8712505945214389,2.952357053756714
13,0.7266038703584226,0.7054977137421337,0.8399391131160244,2.9855868816375732
14,0.6941747528927349,0.6430739064431079,0.8019188901897173,2.9600648880004883
15,0.6338349023712015,0.6229676268298492,0.7892829827317001,2.9188218116760254
16,0.6128904265221035,0.5755512449089611,0.758650937460016,2.9400811195373535
17,0.5634734003900368,0.5646048076450825,0.7514018948905322,2.9146149158477783
18,0.5468846350629754,0.5218222792669435,0.7223726733943799,2.8890321254730225
19,0.5349193867121902,0.5053736488117235,0.7108963699525576,2.9677071571350098
20,0.5269732419575486,0.5183545650792456,0.7199684472803274,2.9159438610076904
21,0.5029107172076948,0.478252399190564,0.6915579507102525,2.8865768909454346
22,0.4865541926054197,0.47334649321562217,0.688001811927572,2.885550022125244
23,0.47944438011846807,0.4478418482380493,0.6692098686047967,2.9138522148132324
24,0.47014423968078933,0.4351774985057728,0.6596798454597297,2.8593671321868896
25,0.45294532910964197,0.4453299308770171,0.6673304510338316,2.901348114013672
26,0.44307960528079593,0.4069873842402039,0.6379556287393379,2.8670098781585693
27,0.43728831076176367,0.40534350392626267,0.6366659280393939,2.8265039920806885
28,0.4101633358503056,0.4048867395373984,0.6363071110221843,2.9028429985046387
29,0.3838319083519071,0.3959585562278734,0.6292523788019188,2.8373539447784424
30,0.37120406956316154,0.3652171914892219,0.6043320209034284,2.838650941848755
31,0.38385836905408127,0.36930341418031776,0.6077033932604933,2.8712141513824463
