Epoch,Train_MSE,Val_MSE,Val_RMSE,Temps_calcul_s
1,5.461059556943234,5.024380884838299,2.2415130793368796,1764782163.342517
2,3.4569235154401476,2.1792348714841303,1.4762231780744164,1764782183.292999
3,2.108644211403677,2.0660362205877205,1.437371288355142,1764782204.426471
4,2.071501372016479,2.0488939653629457,1.4313958101667568,1764782225.529407
5,2.054798844818757,2.025096911031788,1.423058997734032,1764782246.699936
6,2.023322953242008,1.9768961670103473,1.406021396355812,1764782267.6769931
7,1.948302470635031,1.8831361357261922,1.3722740745660804,1764782288.7656572
8,1.8410266671225288,1.7491634260932698,1.322559422518803,1764782574.065191
9,1.7190921217481667,1.6382568078898938,1.279944064359804,1764782592.5152588
10,1.6212431849720321,1.5599946344845763,1.2489974517526352,1764782613.521559
11,1.5512484668571258,1.5293151737652093,1.2366548321036106,1764782634.4579709
12,1.5086675074612983,1.4666924485675643,1.2110707859442256,1764782655.249591
13,1.4830167404959136,1.4336063138722817,1.1973330004106133,1764782676.243535
14,1.43638045932645,1.4140885913761976,1.1891545700102226,1764782697.437533
15,1.4206343716550096,1.4000204846819984,1.1832246129463324,1764782718.715778
16,1.403212311111878,1.3684632427920804,1.169813336730301,1764782739.735272
17,1.3724842155091117,1.3446471093344354,1.1595891985243894,1764782760.8284988
18,1.3554920754700064,1.3253101722868246,1.1512211656701004,1764782782.13043
19,1.3361781618305455,1.3028107116817036,1.141407338193383,1764782803.350017
20,1.3038918554225816,1.2736022065036765,1.128539855965963,1764782824.262788
21,1.2797226114807843,1.253508018068621,1.1196017229660828,1764782845.437665
22,1.2706421697251151,1.2290160224607616,1.108609950551032,1764782866.646313
23,1.2438388143744423,1.2116687320451314,1.1007582532259894,1764782887.755102
24,1.2086637454612232,1.169485154309284,1.0814273689477643,1764782905.8577049
25,1.1659262447713692,1.134422528618407,1.0650927324033372,1764782924.3871129
26,1.1249111534279084,1.078188801828389,1.0383587057603885,1764782945.414678
27,1.1728939012946369,1.0482891849720868,1.0238599440216845,1764782966.4387999
28,1.0444700272283822,1.0204715589844735,1.0101839233448895,1764782987.42012
29,1.0486359997330426,1.006163943454484,1.0030772370333623,1764783012.934494
30,1.020099703953645,0.9749401404095865,0.987390571359473,1764783029.705884
31,1.0386614320434142,0.9897391405304737,0.99485634165465,1764783046.97233
32,0.9830478287745859,0.952453021221211,0.9759369965429178,1764783068.0657248
33,0.9676535803580952,0.9515273914994481,0.9754626551024125,1764783089.094871
34,0.970916520769351,0.9376322756060095,0.9683141409718281,1764783110.0976279
35,0.9494806709133576,0.9258676773267929,0.9622201813134003,1764783131.123359
36,0.9383261953001825,0.9022151898314185,0.9498500880830714,1764783152.266829
37,0.9495408615776312,0.9137839431848342,0.9559204690688625,1764783173.33091
