x_sgp4_km,y_sgp4_km,z_sgp4_km,x_horizons_km,y_horizons_km,z_horizons_km,err_x_pred,err_y_pred,err_z_pred
1241.694361251048,4453.548376163378,-4987.14754328747,1237.760309787452,4456.188233592208,-4985.763369038339,-1.2813183,1.1665262,-2.128018
-622.0172127755923,5409.115783816189,-4074.2304531990594,-626.0279261994947,5410.534657193003,-4071.724472809482,-1.4775639,0.43127945,-2.0165222
-2415.4628364977784,5754.14103511539,-2700.1877639686268,-2419.0976135435462,5754.176387108801,-2696.8422037718447,-1.4942176,-0.3080605,-1.7066904
-3935.765822697025,5448.61406115984,-1020.049687833878,-3938.6131326110935,5447.259063708692,-1016.2424909843528,-1.3317308,-0.950957,-1.2338854
-5010.406457940962,4526.176199069387,775.8729009885509,-5012.1424855421865,4523.582187563832,779.7096740860466,-1.0158702,-1.4162997,-0.65575933
-5517.2261423424015,3090.8116071290888,2483.6053353837974,-5517.653293533476,3087.2714293197528,2487.0359136851466,-0.5863622,-1.6584183,-0.038890526
-5398.688187696516,1305.108056434489,3909.0396413202775,-5397.75778076782,1301.0231751149092,3911.6741021201456,-0.08432812,-1.6631333,0.5522566
-4668.43801133862,-628.4912301099131,4890.309449745074,-4666.255686285921,-632.657875392141,4891.8493092653425,0.45197827,-1.4330238,1.0581988
-3409.4696671064917,-2490.9258824241747,5316.173916305455,-3406.282975027068,-2494.701893430235,5316.445183324708,0.9835642,-0.97886276,1.424123
-1764.458088103558,-4071.317583345711,5138.392794358186,-1760.627619622495,-4074.275395720112,5137.365520653144,1.4637073,-0.3237743,1.602746
80.36788179541695,-5190.602227539875,4377.01866426794,84.40833139615762,-5192.406302169114,4374.810094602581,1.8334583,0.48480704,1.561588
1916.0597741773552,-5721.667848634589,3118.2380259352553,1919.852552491055,-5722.1134170771065,3115.099588708331,2.0275946,1.3678721,1.2907598
3534.4713036275516,-5603.950943936974,1504.8886080068312,3537.5866118510257,-5602.987599916864,1501.1777000634438,1.9932381,2.2227,0.80698675
4752.040070074796,-4850.687974805809,-279.6218143406343,4754.12539166701,-4848.425832736615,-283.48282094661016,1.7102493,2.9387271,0.15431121
5430.996231501931,-3547.59566990291,-2032.3848823525636,5431.816662537969,-3544.292386793658,-2035.9574644935724,1.2034279,3.4102652,-0.5972531
5495.18476782619,-1842.8747384055232,-3554.4890683419303,5494.649147154169,-1838.905959996038,-3557.368222230315,0.5401551,3.561147,-1.3596289
4938.416422413536,70.15297806928997,-4673.850978341967,4936.586644097811,74.3382168222125,-4675.71198087648,-0.18553406,3.376846,-2.0405822
3824.53298614118,1975.320678306842,-5264.493342868752,3821.61566993569,1979.249701565789,-5265.12635951444,-0.875783,2.8942103,-2.5599608
2279.658648787098,3657.914613205171,-5260.210416516316,2275.9810595997033,3661.144114108092,-5259.543131730661,-1.4528719,2.1689708,-2.8613744
477.937246253891,4928.334341136408,-4661.543059855949,473.9121802667483,4930.497779336585,-4659.648179078061,-1.8665582,1.267702,-2.9127216
-1377.6347946913668,5642.931664349352,-3535.693995257065,-1381.554273463415,5643.780524413601,-3532.782039661385,-2.0822835,0.27936396,-2.7031486
-3077.543642464347,5720.153445340361,-2009.4019316686383,-3080.9140408313388,5719.585871889595,-2005.7990226636591,-2.0725691,-0.68200856,-2.2448483
-4429.225196774393,5150.22722095898,-255.17684341047803,-4431.662193138646,5148.301546771569,-251.28988470162216,-1.8273207,-1.4940678,-1.5801051
-5279.147388096246,3996.9017259323305,1528.0072545524256,-5280.371501619483,3993.8316018898904,1531.737337535934,-1.370138,-2.0508528,-0.7843265
-5530.703401627791,2390.551811273135,3137.505755800172,-5530.572707877013,2386.683082176492,3140.6541478517925,-0.7553269,-2.2875812,0.04629536
-5155.438271060327,513.2564127884484,4390.419805220208,-5153.965542034999,509.0266361177629,4392.628109533598,-0.04838857,-2.1860242,0.8144416
-4196.145302552063,-1422.2002646515837,5144.574662950797,-4193.496367954165,-1426.3115253289334,5145.591468576949,0.68564224,-1.7580092,1.4322139
-2761.692466983406,-3196.619842961858,5314.525979545641,-2758.166511922006,-3200.1468324547004,5314.235732293538,1.3801339,-1.035943,1.8248534
-1014.5350169637416,-4609.070142637105,4880.992115335657,-1010.5310766874276,-4611.612674926316,4879.427648051363,1.9589511,-0.08125213,1.9375801
847.5256474118364,-5499.390905632639,3892.9775409871286,851.554211861709,-5500.6603038194335,3890.3164702613417,2.3370285,1.0060465,1.7479098
2613.4908326875375,-5766.327053210103,2462.4408016238817,2617.087607412653,-5766.178915211152,2458.9854187741585,2.4398015,2.0961268,1.2745945
4083.0568704413568,-5379.319460744023,751.8587961325056,4085.813773439162,-5377.77053410344,748.0024326886967,2.231238,3.0528374,0.5742123
5089.636704821679,-4382.320087417735,-1044.2413431774698,5091.241555936438,-4379.54669056179,-1048.059982622452,1.7347783,3.746885,-0.26712823
5519.614075247878,-2888.804487031612,-2721.74833782169,5519.885934631734,-2885.1215990441856,-2725.095746664076,1.028919,4.075097,-1.1475825
5325.236902962222,-1068.4606373487604,-4090.564337657171,5324.145531701039,-1064.2850648023425,-4093.0614004087392,0.21585935,4.01292,-1.9696054
4529.557234310063,872.5895550466403,-4996.233535933182,4527.225525788883,876.7857613175543,-4997.597057610147,-0.6000767,3.6092234,-2.649673
3223.1696942937824,2715.3007221661114,-5337.015084091524,3219.8586982095276,2719.044127119623,-5337.089238074156,-1.3279368,2.9261036,-3.1238415
1553.6289849306977,4252.086572977608,-5074.772203358427,1549.709564254927,4254.952947874837,-5073.544747229204,-1.9055628,2.0202062,-3.3485515
-290.9851337004648,5309.609696373731,-4238.949030685429,-295.07283544561136,5311.271267434998,-4236.553366116935,-2.2970355,0.9601711,-3.2975535
-2102.7058049056427,5767.950735418784,-2923.4576068199976,-2106.5002964993714,5768.213117076508,-2920.159258227435,-2.470999,-0.1578698,-2.9623644
-3676.697830448338,5574.329515504583,-1276.6347477089837,-3679.767134659598,5573.155363614783,-1272.8039308896696,-2.3935962,-1.2109575,-2.3606546
-4560.935700491014,5040.005174961507,10.526464349405648,-4561.359746228897,5039.61877250079,11.255264907314157,-2.0566297,-2.0594456,-1.5689263
-5334.07979376477,3814.632509945952,1780.6554910617806,-5334.272875590415,3814.0400162191254,1781.3425474643198,-1.509865,-2.5799155,-0.6998853
-5502.61343331759,2156.87836075173,3348.3782450458534,-5502.553715574409,2156.146724376695,3348.945644111426,-0.85902035,-2.7200406,0.11546259
-5047.539118881229,254.67202185007807,4535.568729515788,-5047.233509773284,253.8844403605119,4535.951864759545,-0.21346891,-2.5115504,0.77351874
-4020.699572537299,-1676.3998569650278,5207.545200108434,-4020.182734353554,-1677.1543794879176,5207.7008013285795,0.34754434,-2.0361977,1.2171642
-2538.582723335765,-3417.6537831601595,5288.185160348979,-2537.913402358249,-3418.2895507819135,5288.095639784639,0.7783876,-1.3950993,1.4306003
-769.0164423128431,-4771.894431344745,4768.30989517455,-768.2702007913457,-4772.33958750203,4767.985464734577,1.0575207,-0.6915056,1.431184
1087.64727760264,-5585.512352520911,3706.707474430641,1088.3857047465156,-5585.716210845836,3706.1851487913345,1.1810111,-0.016782183,1.2601782
2820.986798326352,-5765.926751412704,2223.7186564643084,2821.633758255852,-5765.866215993618,2223.057979350719,1.1612327,0.55885905,0.97049916
4234.389509055941,-5292.424267252288,487.824220898912,4234.8719545988015,-5292.106299476483,487.1002943508501,1.0239466,0.9893606,0.6160234
5167.686425253775,-4218.828985130347,-1303.5633156420718,5167.949832524075,-4218.29009594388,-1304.2678251604043,0.80338746,1.2512625,0.24615012
5515.650037660166,-2667.327278426479,-2946.926273386555,5515.665240133146,-2666.629067496424,-2947.5314559509047,0.5378921,1.3406545,-0.09614767
5239.865513809283,-814.1251309579097,-4256.139708793879,5239.631587472287,-813.346937233065,-4256.577432625597,0.26601952,1.2707531,-0.3759206
