time_utc;tle_index;tle_epoch;dt_since_tle_s;mean_motion;orbital_speed_km_s;mean_motion_derivative;altitude_drift_km_per_day;bstar;inclination_deg;raan_deg;eccentricity;arg_perigee_deg;mean_anomaly_deg;rev_number;x_sgp4_km;y_sgp4_km;z_sgp4_km;x_horizons_km;y_horizons_km;z_horizons_km;dx_km;dy_km;dz_km;error_norm_km
2025-06-19T19:02:57.860736+00:00;0;2025-06-19T19:02:57.860736+00:00;0.0;15.2535095;7.61829688003786;4.917e-05;-0.014759143741959205;0.00018126999999999998;28.4692;27.2466;0.0002536;116.6648;243.42069999999998;73334;6125.369892532042;3103.8611725939354;-18.41274493572823;6122.764946803125;3109.0027799729005;-15.2784268779699;2.6049457289173006;-5.141607378965091;-3.13431805775833;6.560931212657446
2025-06-19T19:07:57.860736+00:00;0;2025-06-19T19:02:57.860736+00:00;300.0;15.2535095;7.61829688003786;4.917e-05;-0.014759143741959205;0.00018126999999999998;28.4692;27.2466;0.0002536;116.6648;243.42069999999998;73334;4898.411161120578;4692.719711341362;1055.3468350579503;4894.035669250577;4696.607413471705;1058.31358321668;4.375491870001497;-3.8877021303424044;-2.966748158729615;6.562069155079336
2025-06-19T19:12:57.860736+00:00;0;2025-06-19T19:02:57.860736+00:00;600.0;15.2535095;7.61829688003786;4.917e-05;-0.014759143741959205;0.00018126999999999998;28.4692;27.2466;0.0002536;116.6648;243.42069999999998;73334;3132.700387998892;5765.425974439953;2012.6960463536766;3127.035281069455;5767.631492834337;2015.1678423459143;5.6651069294371155;-2.205518394383944;-2.4717959922377304;6.562585110851123
2025-06-19T19:17:57.860736+00:00;0;2025-06-19T19:02:57.860736+00:00;900.0;15.2535095;7.61829688003786;4.917e-05;-0.014759143741959205;0.00018126999999999998;28.4692;27.2466;0.0002536;116.6648;243.42069999999998;73334;1022.315572705669;6203.776859895672;2747.9723847451282;1015.9843676629058;6204.057452428415;2749.6764128328687;6.331205042763145;-0.2805925327429577;-1.7040280877404257;6.562514852306917
2025-06-19T19:22:57.860736+00:00;0;2025-06-19T19:02:57.860736+00:00;1200.0;15.2535095;7.61829688003786;4.917e-05;-0.014759143741959205;0.00018126999999999998;28.4692;27.2466;0.0002536;116.6648;243.42069999999998;73334;-1200.5681945783072;5959.425627900908;3180.0014153624634;-1206.8688112700281;5957.750837008703;3180.7497185073867;6.300616691720961;1.6747908922052375;-0.748303144923284;6.56221401855414
2025-06-19T19:27:57.860736+00:00;0;2025-06-19T19:02:57.860736+00:00;1500.0;15.2535095;7.61829688003786;4.917e-05;-0.014759143741959205;0.00018126999999999998;28.4692;27.2466;0.0002536;116.6648;243.42069999999998;73334;-3291.3189422663363;5059.197709461099;3261.075391184457;-3296.8952259066045;5055.752696114493;3260.785465207966;5.57628364026823;3.4450133466061743;0.289925976491304;6.5610298937637985
2025-06-19T19:32:57.860736+00:00;0;2025-06-19T19:02:57.860736+00:00;1800.0;15.2535095;7.61829688003786;4.917e-05;-0.014759143741959205;0.00018126999999999998;28.4692;27.2466;0.0002536;116.6648;243.42069999999998;73334;-5019.79574027334;3602.1118163024344;2982.210820215065;-5024.034472074063;3597.276563278728;2980.9148510128302;4.238731800723144;4.835253023706173;1.2959692022345735;6.559424917998671
2025-06-19T19:37:57.860736+00:00;0;2025-06-19T19:02:57.860736+00:00;2100.0;15.2535095;7.61829688003786;4.917e-05;-0.014759143741959205;0.00018126999999999998;28.4692;27.2466;0.0002536;116.6648;243.42069999999998;73334;-6195.68244401816;1748.5012319145815;2374.149938989733;-6198.117671399477;1742.8092442644866;2371.991376546065;2.435227381317418;5.691987650094916;2.158562443667961;6.5565576052350005
2025-06-19T19:42:57.860736+00:00;0;2025-06-19T19:02:57.860736+00:00;2400.0;15.2535095;7.61829688003786;4.917e-05;-0.014759143741959205;0.00018126999999999998;28.4692;27.2466;0.0002536;116.6648;243.42069999999998;73334;-6689.500575079248;-297.5988879593886;1504.001229360464;-6689.865999184817;-303.52038582397716;1501.21877484329;0.3654241055692182;5.921497864588559;2.7824545171740738;6.552840977576088
2025-06-19T19:47:57.860736+00:00;0;2025-06-19T19:02:57.860736+00:00;2700.0;15.2535095;7.61829688003786;4.917e-05;-0.014759143741959205;0.00018126999999999998;28.4692;27.2466;0.0002536;116.6648;243.42069999999998;73334;-6446.986156853246;-2310.951163755326;467.8427603890728;-6445.244284981504;-2316.44990451592;464.74421822331294;-1.7418718717417505;5.498740760594046;3.098542165759852;6.547612627727396
2025-06-19T19:52:57.860736+00:00;0;2025-06-19T19:02:57.860736+00:00;3000.0;15.2535095;7.61829688003786;4.917e-05;-0.014759143741959205;0.00018126999999999998;28.4692;27.2466;0.0002536;116.6648;243.42069999999998;73334;-5495.132162036778;-4070.060200823937;-619.9404871603368;-5491.478175183892;-4074.532472614263;-623.01307878798;-3.6539868528861916;4.472271790325976;3.0725916276431917;6.541685883461058
