time_utc;tle_index;tle_epoch;dt_since_tle_s;mean_motion;orbital_speed_km_s;mean_motion_derivative;altitude_drift_km_per_day;bstar;inclination_deg;raan_deg;eccentricity;arg_perigee_deg;mean_anomaly_deg;rev_number;x_sgp4_km;y_sgp4_km;z_sgp4_km;x_horizons_km;y_horizons_km;z_horizons_km;dx_km;dy_km;dz_km;error_norm_km
2025-10-02T11:12:37.521216+00:00;1;2025-10-02T11:12:37.521216+00:00;0.0;15.496206410000001;7.6584890907731396;0.00015763000000000002;-0.04608650809599737;0.00028741;51.6327;135.35220000000004;0.0001043;189.2069;170.89;53180;-4806.601127425085;4806.388438551534;8.73697264699024;-4808.34283430914;4804.634511669457;11.87393683185063;1.74170688405502;1.7539268820764846;-3.136964184860389;3.9937885115178533
2025-10-02T11:17:37.521216+00:00;1;2025-10-02T11:12:37.521216+00:00;300.0;15.496206410000001;7.6584890907731396;0.00015763000000000002;-0.04608650809599737;0.00028741;51.6327;135.35220000000004;0.0001043;189.2069;170.89;53180;-5518.119059352835;3544.2211376263112;1778.839542863818;-5518.824003303853;3541.6295113843553;1781.79639458306;0.7049439510174125;2.5916262419559644;-2.9568517192419677;3.9945518699417355
2025-10-02T11:22:37.521216+00:00;1;2025-10-02T11:12:37.521216+00:00;600.0;15.496206410000001;7.6584890907731396;0.00015763000000000002;-0.04608650809599737;0.00028741;51.6327;135.35220000000004;0.0001043;189.2069;170.89;53180;-5604.182310481855;1880.333788442441;3346.747527968454;-5603.77050977051;1877.1977919180054;3349.188427980968;-0.4118007113447675;3.1359965244355408;-2.4409000125137936;3.9952530455811788
2025-10-02T11:27:37.521216+00:00;1;2025-10-02T11:12:37.521216+00:00;900.0;15.496206410000001;7.6584890907731396;0.00015763000000000002;-0.04608650809599737;0.00028741;51.6327;135.35220000000004;0.0001043;189.2069;170.89;53180;-5055.139637633041;3.3397120450326545;4534.316616419836;-5053.65809108121;0.014992128453695802;4535.9642346637365;-1.481546551831343;3.3247199165789585;-1.647618243900979;3.995420952362277
2025-10-02T11:32:37.521216+00:00;1;2025-10-02T11:12:37.521216+00:00;1200.0;15.496206410000001;7.6584890907731396;0.00015763000000000002;-0.04608650809599737;0.00028741;51.6327;135.35220000000004;0.0001043;189.2069;170.89;53180;-3933.4797248629534;-1874.049629967749;5206.822658344691;-3931.096420069801;-1877.1867482713733;5207.490315787892;-2.383304793152547;3.13711830362422;-0.667657443200369;3.995925355841731
2025-10-02T11:37:37.521216+00:00;1;2025-10-02T11:12:37.521216+00:00;1500.0;15.496206410000001;7.6584890907731396;0.00015763000000000002;-0.04608650809599737;0.00028741;51.6327;135.35220000000004;0.0001043;189.2069;170.89;53180;-2366.4246855614188;-3539.2431361108347;5288.082448683701;-2363.4095659307427;-3541.83719421837;5287.694355837915;-3.015119630676054;2.5940581075351474;0.38809284578564984;3.996335810402692
2025-10-02T11:42:37.521216+00:00;1;2025-10-02T11:12:37.521216+00:00;1800.0;15.496206410000001;7.6584890907731396;0.00015763000000000002;-0.04608650809599737;0.00028741;51.6327;135.35220000000004;0.0001043;189.2069;170.89;53180;-531.4185992273254;-4803.660208140128;4768.845905149234;-528.1127496478206;-4805.417121473712;4767.445762463376;-3.3058495795048657;1.756913333583725;1.4001426858576451;3.9969720345278166
2025-10-02T11:47:37.521216+00:00;1;2025-10-02T11:12:37.521216+00:00;2100.0;15.496206410000001;7.6584890907731396;0.00015763000000000002;-0.04608650809599737;0.00028741;51.6327;135.35220000000004;0.0001043;189.2069;170.89;53180;1363.7660501723701;-5523.863137723264;3707.827399715939;1366.9886134407054;-5524.583082109296;3705.5734049333637;-3.222563268335307;0.7199443860317842;2.253994782575319;3.9979652846516034
2025-10-02T11:52:37.521216+00:00;1;2025-10-02T11:12:37.521216+00:00;2400.0;15.496206410000001;7.6584890907731396;0.00015763000000000002;-0.04608650809599737;0.00028741;51.6327;135.35220000000004;0.0001043;189.2069;170.89;53180;3104.3260674536527;-5617.859799203993;2225.2999194890167;3107.09973022312;-5617.460029200809;2222.4478460510045;-2.773662769467137;-0.3997700031841305;2.852073438012212;3.9984177007897443
2025-10-02T11:57:37.521216+00:00;1;2025-10-02T11:12:37.521216+00:00;2700.0;15.496206410000001;7.6584890907731396;0.00015763000000000002;-0.04608650809599737;0.00028741;51.6327;135.35220000000004;0.0001043;189.2069;170.89;53180;4492.820160178912;-5074.740337312286;489.68995080452817;4494.830430758149;-5073.265517523461;486.563720198453;-2.0102705792369306;-1.4748197888247887;3.1262306060751825;3.9986996653432203
