Epoch,Train_MSE,Train_RMSE,Val_MSE,Val_RMSE,Test_MSE,Test_RMSE,Time
1,43.96371266635925,6.630513755838174,450.30990672866,21.22050675004393,3.9064601514064057,1.9764767014580278,6.445900201797485
2,41.60149834933081,6.449922352193925,449.7624797760686,21.207604291292984,3.7845252059117147,1.9453856188200103,5.862287998199463
3,41.30905173336648,6.427211816438485,445.4993040863472,21.106854433722408,3.5485952837934978,1.883771558282346,5.616966247558594
4,37.931133148089756,6.158825630596287,443.9704914319364,21.070607286738,3.7966483265538757,1.9484989932134622,5.74650764465332
5,37.12173384006735,6.092760773251101,443.415786436087,21.057440168170654,3.6538393191898924,1.9115018491201865,5.3889548778533936
6,37.217220711146346,6.100591832859034,455.16376508791234,21.334567375222594,4.761151240030421,2.182006241977878,4.770042181015015
7,33.858056351464455,5.818767597306534,442.0612164200107,21.025251875304864,7.0396966070313995,2.653242658904647,5.22236180305481
8,33.26607683893898,5.767675167599071,452.745672481724,21.277821140373465,7.631194636791567,2.762461698701281,4.533706903457642
9,28.49116750350173,5.337711822822747,435.03624425885045,20.85752248611638,10.14329035976265,3.1848532713082167,5.47831916809082
10,29.234960278759452,5.4069363116981,431.3726556369021,20.76951264803539,14.694957645633552,3.8334002720344182,4.929594993591309
11,28.477816166209927,5.336461015149452,433.0602924589869,20.810100731591543,21.790439635892458,4.668023097189265,5.131304025650024
12,23.65481523990007,4.863621617673405,445.3055061056644,21.102263056498572,22.51202474666547,4.744683840538321,4.846130132675171
13,21.962754641527905,4.686443709416332,454.50285290841816,21.319072515201455,7.113312790665446,2.667079449635021,5.035387754440308
14,27.354368788721676,5.23014041768686,418.7726693530626,20.463935822638387,8.148340410824064,2.8545298055588884,4.952317953109741
15,31.50331761372027,5.612781628900262,414.9393619698814,20.370060431178928,14.537634058843684,3.8128249446891322,5.9503560066223145
16,19.338899955387514,4.397601613992281,405.92356973735593,20.147545005219765,17.953943285761,4.237209374784423,6.2093470096588135
17,18.45245778654258,4.2956324082191415,400.6328560996659,20.015815149517792,16.303009374232232,4.037698524435948,6.2883031368255615
18,16.41075940796842,4.051019551664546,403.1391516259954,20.07832541886886,21.06111062025722,4.58923856650068,5.850110054016113
19,14.760559731909117,3.8419473879673465,431.66093589271173,20.77645147499235,22.23268272906919,4.7151545816727145,5.83173394203186
20,19.114497017173868,4.37201292509227,421.46935051981404,20.529718715068018,33.172644319413585,5.759569803328508,6.296700954437256
21,25.111003366752445,5.011088042207246,430.3010242653044,20.743698423022458,41.30817430834227,6.4271435574710996,5.577415227890015
22,17.882412305365058,4.228760138074168,451.0406401877916,21.23771739589242,61.02639536314373,7.811939283119379,4.179667949676514
23,21.16479179107082,4.6005208173717484,494.1012396642679,22.228388148137686,65.82178685333156,8.113062729532636,5.389569044113159
24,14.669910438397793,3.8301319087464587,482.0144528391995,21.95482755202599,75.20999804025963,8.672369805321935,6.054780006408691
25,11.19964257054304,3.3465867044711453,442.07215516306934,21.025512007156195,72.02836338779595,8.486952538325871,4.546431064605713
26,10.235530676329947,3.1993015919619,465.8712722425219,21.584051339878755,80.88659984854203,8.99369778503492,3.8437860012054443
27,9.351763565970964,3.05806533055966,468.11191429612757,21.63589411825006,81.55034137677542,9.030522763205651,4.103399991989136
28,8.805983506806234,2.967487743328729,484.95675960786735,22.021733801130814,82.86872785000861,9.103226233045547,3.9093189239501953
29,11.583489241400315,3.4034525472526154,380.51445143358615,19.506779627441997,45.19904700713822,6.723023650645461,3.759406805038452
30,7.923966621541228,2.814954106471583,372.9311439598663,19.31142521824493,45.687004155750515,6.7592162382742655,3.804450035095215
31,7.014634184812376,2.648515468108951,378.5274504723051,19.45578192909,51.069857736177084,7.1463177746429025,4.059891939163208
32,7.005517419018046,2.64679379986769,370.7937536473516,19.256005651415652,49.50509747372398,7.035985892092449,3.954669952392578
33,28.621547307799624,5.349910962604857,465.14302177972434,21.56717463600006,34.81001418149924,5.900001201821847,4.138144016265869
34,25.585119520026353,5.058173535973865,460.7904101070724,21.46602921145577,58.17520984215072,7.62726752134411,4.032066822052002
35,18.12369521765809,4.257193349809014,446.79433692218385,21.13751018739397,57.33834007721913,7.5722084015971936,4.1530561447143555
36,12.781200104827033,3.5750804333367148,407.3616746843238,20.18320278559188,79.41906808901437,8.91173765822437,4.054518938064575
37,6.040259626367329,2.4576939651566323,407.7805738045445,20.193577538528046,78.93080553827407,8.884301072018781,3.976444721221924
38,5.244026483197487,2.289983948240137,408.0501675873618,20.200251671386717,79.97021238713324,8.942606576783596,4.063714027404785
39,7.565218981023858,2.750494315759234,431.1916992883139,20.765155893667494,74.84993629817721,8.651585767833387,4.077636003494263
40,16.282251988249925,4.035127257999421,417.40936966938307,20.430598857336097,97.70775392991078,9.88472326015811,4.386624097824097
41,5.5350165220455345,2.3526615825582597,444.1670421531683,21.075270867848136,104.94279083420959,10.24415886416301,4.366566181182861
