Epoch,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,epoch_time
1,46.987946758667626,446.3341832637787,4.476931476593018,6.854775471061589,21.126622618482557,2.115876054165985,0.25731682777404785
2,46.833026299873985,446.5555788516998,4.451371359825134,6.843465956653397,21.131861698669614,2.1098273293862544,0.25888895988464355
3,45.41386612256368,447.31738539934156,4.634591186046601,6.7389810893460504,21.14987908710926,2.152810067341427,0.2682478427886963
4,44.208551943302155,448.03974149227145,5.127947664260864,6.648951191225738,21.166949272209056,2.2644972210759864,0.36179494857788086
5,43.97400293250879,448.0166718482971,5.484508657455445,6.631289688477558,21.16640432024998,2.341902785654316,0.3275439739227295
6,43.40968118607998,447.73401365280154,5.661960244178772,6.58860236970482,21.15972621875816,2.3794873910526975,0.31986188888549805
7,43.524500116705894,447.32607700824735,5.892912864685059,6.597310066739769,21.150084562673676,2.427532258217192,0.3227498531341553
8,42.97354770203432,446.9063559770584,6.115678358078003,6.555421245201129,21.14015979071725,2.47298976101358,0.28447723388671875
9,42.569143722454704,446.46434528827666,6.420521211624146,6.5245033314770176,21.12970291528673,2.533874742686415,0.28338098526000977
10,42.185673758387566,446.08404796123506,6.62295126914978,6.495049942716959,21.120701881358844,2.57350952381175,0.29335975646972656
11,42.597574611504875,445.8494726657867,7.164689397811889,6.526681745841824,21.115147943260702,2.676693743746544,0.3045179843902588
12,41.5619512895743,445.5512422323227,7.260022211074829,6.44685592281806,21.108084759928428,2.6944428387098562,0.2817068099975586
13,41.333493580420814,445.4678633213043,7.663438749313355,6.429112969953228,21.106109620707088,2.768291666229076,0.28966617584228516
14,41.041852662960686,445.3204397201538,7.761350536346436,6.406391547740482,21.102616892702045,2.7859200520378247,0.23894023895263672
15,40.457270205020905,445.0974983692169,7.945147562026977,6.360602974956141,21.097333916142507,2.8187138134310437,0.2545962333679199
16,40.06928229828676,444.893806552887,8.171770906448364,6.330030197264999,21.09250593345625,2.8586309496764994,0.29216885566711426
17,39.758768354853,444.6413549184799,8.353379917144775,6.3054554438876975,21.086520692577047,2.890221430469433,0.30981898307800293
18,39.234309911727905,444.3302682161331,8.622222661972046,6.263729712537723,21.079142966831768,2.936362147619405,0.31821489334106445
19,38.04339716831843,443.9523342847824,8.390225172042847,6.167932973721296,21.07017641797957,2.896588540342388,0.28500819206237793
20,37.32771839698156,443.29447548389436,8.190319776535034,6.109641429493351,21.05455949394084,2.861873473187631,0.2689390182495117
21,36.32402619719505,442.7857342481613,8.518695306777953,6.026941695187954,21.04247452768237,2.918680405042312,0.2551760673522949
22,35.89976148804029,441.7159779310226,8.037397384643555,5.9916409678852,21.017040180078226,2.8350304027723503,0.289780855178833
23,34.965028166770935,440.8061445236206,8.113771629333495,5.913123385045414,20.995383886074116,2.8484682953007385,0.2656872272491455
24,33.766794254382454,439.5427913427353,7.505689668655395,5.810920258821528,20.96527584704612,2.739651377211231,0.31301212310791016
25,33.04345407088598,438.57451739311216,7.237970161437988,5.748343593669917,20.94217078989454,2.690347591193002,0.3288540840148926
26,32.23228543996811,437.8122855901718,7.0828996181488035,5.677348451519257,20.923964385129597,2.661371754969381,0.3414280414581299
27,31.077684079607327,436.7966109752655,6.857419490814209,5.574736234083844,20.899679685948907,2.618667502913306,0.3074939250946045
28,31.065225332975388,435.87090067863465,6.580946779251098,5.573618692822051,20.87752142086399,2.565335607528009,0.2434089183807373
29,29.24866438905398,434.98815541267396,6.748113346099854,5.40820343451076,20.85636966043405,2.5977130992663247,0.25786590576171875
30,28.519922773043316,434.2576950788498,6.3657653570175174,5.340404738691939,20.838850617988744,2.523046840036371,0.27899813652038574
31,27.789350519577663,433.5918167352676,6.4099290609359745,5.2715605393069005,20.82286763957519,2.5317837705728294,0.3274080753326416
32,26.77947762608528,432.61733560562135,6.2690250158309935,5.174889141429532,20.799455175692014,2.503802111955135,0.3104729652404785
33,25.506044005354244,432.0296532869339,6.309431028366089,5.050350879429492,20.78532302580198,2.5118580828474544,0.2622678279876709
34,24.997525105873745,432.19704484939575,6.1923095226287845,4.99975250446197,20.78934931279466,2.488435155399631,0.2854299545288086
35,23.76100210348765,432.34566192626954,6.099899244308472,4.8745258337081,20.792923361717794,2.469797409567933,0.2781951427459717
36,22.943503628174465,430.68072123527526,6.200561833381653,4.789937747839158,20.752848508946315,2.4900927358999407,0.276508092880249
37,22.614891186356544,431.1908356904984,6.211729264259338,4.7555116639912205,20.76513509925949,2.4923340996462207,0.2703227996826172
38,21.256354048848152,430.95579543113706,6.263465833663941,4.610461370497334,20.759474835147856,2.502691717663992,0.28322386741638184
39,21.327497124671936,430.84388439655305,6.315366935729981,4.618170322180846,20.756779239481087,2.5130393820491514,0.3361489772796631
40,19.796497498949368,431.04051327705383,6.354822564125061,4.4493255105633,20.761515197043153,2.5208773401585924,0.31493306159973145
41,18.964632257819176,430.87985734939576,6.454315590858459,4.3548400955510616,20.75764575642902,2.5405345088895093,0.2337501049041748
42,18.067638233304024,430.1080663204193,6.248509430885315,4.250604455051543,20.739046900000474,2.4997018684005727,0.2581031322479248
43,17.735354309280712,429.3115033864975,6.2351337432861325,4.211336404192939,20.719833575260626,2.497024978506649,0.2566981315612793
44,17.371711239218712,427.8059726238251,6.392837595939636,4.167938487936058,20.683471000386398,2.528406137458861,0.3236112594604492
45,16.728936056296032,429.04267807006835,6.33380126953125,4.090102206094126,20.713345409905866,2.516704446201669,0.30674195289611816
