train_mse,valid_mse,train_rmse,valid_rmse,epoch_time
42.642241359362146,450.4558668800547,6.530102706647281,21.223945601137757,11.505828857421875
41.39652644740749,448.10798652413524,6.434013245821576,21.16856127667006,8.08338713645935
40.1454747378221,437.9349764351603,6.3360456704337365,20.926896005742474,6.325408697128296
42.067638320214854,432.88900293353237,6.485957008816421,20.80598478643903,5.990915060043335
40.23319080366096,433.488076452213,6.342963881629862,20.82037647239389,6.050838947296143
38.997563408716076,431.3441047261033,6.244802911919325,20.768825309249035,6.000744819641113
39.11427013341545,448.67800440365755,6.254140239346689,21.182020781872005,5.8867268562316895
38.3739953101589,425.11929650623586,6.194674754186768,20.618421290347033,5.970370769500732
36.33920356237949,411.1834155083457,6.0282006902872345,20.277658038056213,5.86620306968689
36.944495715768205,422.6105851727196,6.0781983939131345,20.55749462295247,5.863712310791016
34.46225170828969,406.067657726475,5.87045583479594,20.151120507963693,5.874980211257935
34.7350793465745,459.5267937255057,5.893647372092642,21.43657607281316,5.885828733444214
35.83304961835067,455.9527169518833,5.986071300807456,21.353049359561815,5.8603010177612305
37.92016073955497,454.1536258662803,6.157934778767552,21.310880457322273,5.828006267547607
34.060231607880084,453.0691458213178,5.836114427243531,21.285420968853725,6.046160936355591
32.49816151772659,448.9723329083829,5.700715877653138,21.188967244969323,5.861454010009766
31.93959206327569,441.77784852589235,5.651512369558762,21.018512043574646,5.8935370445251465
32.335283710871856,437.3463146086735,5.686412200225363,20.912826557131712,5.849707126617432
27.222096071479285,423.994269072255,5.2174798582725055,20.591121122276345,5.965054988861084
25.84911437854549,414.6149035194252,5.0842024328841875,20.36209477238099,5.769927978515625
29.31241591206662,407.31476461736463,5.414094191281365,20.182040645518594,5.82530403137207
27.99058444669404,411.6248708080642,5.290612861162121,20.288540381409014,5.907439947128296
24.910281603106387,407.6040702137766,4.991020096443851,20.189206775249406,5.97556209564209
26.18200018502734,405.1134006245227,5.116834977310422,20.127429061470387,5.773720979690552
33.547014158086725,412.23195383820354,5.79197843211512,20.303496098903842,5.870706081390381
31.12631934245831,408.4845575396019,5.579096642150798,20.21100090395332,5.878854036331177
24.79043721804764,444.669258208969,4.97899962020963,21.08718232028568,5.917892217636108
21.975330924170876,442.6302701476254,4.687785289896592,21.038780148754476,5.8749189376831055
34.24651608476179,452.04966477276406,5.852052296823892,21.261459610590332,5.833692789077759
28.93932065806413,451.1585822573191,5.379527921487547,21.240493926868062,5.9550559520721436
23.429286733496614,441.2933387718623,4.8403808459145665,21.006983095434297,5.970623970031738
28.742505986375857,435.2779429637933,5.36120378146325,20.86331572314893,5.844780921936035
29.05891325540349,438.1013838445084,5.390631990351733,20.9308715500456,5.838989019393921
19.910855671475986,444.35229692579827,4.462158185393698,21.079665484200603,5.951869010925293
17.184530315514145,447.49491561213625,4.145422815047235,21.154075626510753,5.789275169372559
20.887372441400732,443.79621153843556,4.57027049980641,21.066471264510238,5.894435167312622
15.829505488654684,434.968255897866,3.9786311073853886,20.855892594129507,5.871101140975952
25.745477500452004,444.8928132268447,5.074000147856916,21.092482386548166,6.083377122879028
23.683750279209942,445.2235938008827,4.866595347798083,21.10032212552412,5.907955169677734
18.376595591379303,445.37940574673155,4.286793159388414,21.104013972387612,5.886684894561768
17.053745252226815,444.20425633614576,4.129618051615284,21.076153736774312,5.845462083816528
13.58712892151121,440.9446608514725,3.6860722892411117,20.998682359888026,5.848257064819336
12.64991300647634,433.602789111907,3.5566716191513015,20.82313110730245,5.8495261669158936
12.224925142859444,433.92060667578176,3.496416042586958,20.830761068088265,5.8249831199646
