train_mse,train_rmse,valid_mse,valid_rmse,test_mse,test_rmse,epoch_time
43.6249243592459,6.60491668071944,287.1276215254055,16.944840557686152,4.764799577649683,2.182842087199549,4.704767942428589
39.684609826595064,6.299572193934686,288.7681198431836,16.99317862682505,4.83578403131105,2.1990416165482296,4.5223259925842285
38.49838397029846,6.20470659824447,289.51547048503863,17.015154142265025,4.874943291574406,2.207927374615027,4.7628560066223145
37.634818251170806,6.1347223450756765,290.33486824899035,17.039215599580587,4.955238245349999,2.2260364429519113,4.5808327198028564
37.50655061593132,6.124259189153519,290.9550753767219,17.057405294379386,4.95648834722427,2.226317216217013,4.698189973831177
36.5420796025367,6.045004516337164,291.35941494300084,17.06925349694593,5.050288747142379,2.247284749902063,4.281765937805176
35.931981881838,5.994329143602143,291.2653141076512,17.06649683173589,5.152280754875392,2.2698635982973494,3.4732861518859863
35.428975454587786,5.952224412317448,291.4536075145554,17.072012403772305,5.292146047266821,2.3004664847084433,3.8041670322418213
36.16768926325298,6.013957870092955,290.95137276363505,17.05729676014447,5.320486964502682,2.306618079462372,4.150364875793457
34.510123306796665,5.874531752131115,291.1546535879264,17.06325448406389,5.548506720767667,2.355526845690294,4.487947940826416
34.068666376954035,5.836837018193504,291.2027145107003,17.064662742366174,5.775619137100875,2.403251783958742,4.726107120513916
33.43417034991204,5.782228839289573,291.47402744636156,17.07261044616088,5.983472123121222,2.446113677473151,4.698099136352539
33.298219124286895,5.770460910905375,291.5348366271595,17.074391252023,6.141100864081333,2.478124465010047,4.791888236999512
32.522617357780064,5.7028604539985075,291.4490222589058,17.071878111646235,6.3577685757773,2.52146159514225,4.744205713272095
32.316202110335944,5.684734128377152,291.7063065509257,17.079411774148596,6.62370606395416,2.573656166614756,4.799421072006226
31.75808689130677,5.635431384668504,291.45145485681644,17.07194935725901,6.734013785103646,2.5949978391327506,4.817453145980835
31.428308664900914,5.606095670330726,290.9483408687417,17.0572078860739,6.784694846952334,2.604744679801138,4.820896148681641
30.702350415975328,5.540970169200997,290.7982963340576,17.05280904525872,6.921996612722675,2.6309687593589315,4.768182039260864
31.471029684940973,5.60990460568992,290.0172426536241,17.029892620143677,6.261523015176256,2.5023035417743102,4.7115089893341064
30.21768858139477,5.497061813495894,290.67161929026685,17.04909438328813,6.933252865448594,2.6331070744366993,4.800411224365234
29.48811674430257,5.430296193054534,290.74288799613714,17.051184357578716,7.1130905989557505,2.6670377948120176,4.782019853591919
