Epoch,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,epoch_time
1,46.75571252902349,448.20143315792086,5.972562527656555,6.837814894322856,21.170768364844978,2.4438826746913516,0.2399282455444336
2,43.2853751629591,446.15788662433624,6.672957468032837,6.579162193088045,21.12244982534782,2.5832068186718686,0.27892589569091797
3,42.3861019363006,445.18707330226897,7.838670110702514,6.510460961890533,21.099456706329406,2.799762509696584,0.29793310165405273
4,41.698220267891884,445.714577794075,8.528684711456298,6.457415912568424,21.111953433874255,2.9203911915112157,0.3133070468902588
5,39.61992867787679,446.8164347529411,8.197121143341064,6.294436327255745,21.13803289695948,2.863061498351208,0.31408214569091797
6,37.184706111749016,448.2041481733322,8.50608696937561,6.0979263780197455,21.1708324865446,2.9165196672362095,0.2995877265930176
7,33.538756251335144,449.9710534095764,8.931719541549683,5.791265513800515,21.21252114694471,2.988598256967584,0.2849869728088379
8,30.15958831210931,451.29925618171694,8.350999593734741,5.491774604998763,21.24380512482914,2.889809612022,0.27319884300231934
9,24.969308704137802,454.5731919527054,7.523720455169678,4.996929927879497,21.320722125498126,2.742940111480686,0.2784562110900879
10,20.82659587264061,458.0165309906006,7.212379288673401,4.563616534355249,21.40132077677919,2.6855873265774473,0.2683839797973633
11,17.320130467414856,465.6753031730652,6.681745600700379,4.1617460839670235,21.57951118939132,2.5849072711995644,0.28720712661743164
12,14.136166080832481,462.0111640691757,6.3890574216842655,3.7598093144244005,21.4944449583881,2.5276584859676485,0.262768030166626
13,12.515474542975426,463.6014988422394,6.7376182079315186,3.5377216599070405,21.53140726571859,2.595692240603943,0.2687509059906006
14,9.450975368420282,459.93632605075834,6.612213087081909,3.0742438693799623,21.446126131559478,2.571422385972773,0.2932901382446289
15,8.085181757807732,457.7319409608841,6.49028377532959,2.8434454026423177,21.394670854231062,2.5476035357428732,0.26299023628234863
16,6.731665387749672,453.3422352075577,6.797915935516357,2.5945453142602215,21.291834942239188,2.607281330335558,0.26236915588378906
17,5.611635838945706,449.4866744995117,7.160205221176147,2.3688891571674913,21.201100785089242,2.6758559791543615,0.26784801483154297
18,4.669134904940923,448.4417214870453,7.039612293243408,2.1608181101011077,21.17644260698773,2.653226770037459,0.2771329879760742
19,4.2605740254124,451.5510494709015,7.223521900177002,2.06411579748143,21.24973057407791,2.6876610463704314,0.2744309902191162
20,4.446026685337226,459.06915259361267,6.92833456993103,2.1085603347633253,21.425899108173095,2.632172974926046,0.2749638557434082
21,4.2038178617755575,455.89434309005736,7.136647939682007,2.0503214045060245,21.35168244167324,2.671450531019058,0.3285348415374756
22,4.460405903557937,443.269224023819,7.249916410446167,2.1119673064604805,21.053959818139177,2.6925668813320436,0.32811594009399414
23,3.6337495694557824,444.8834418296814,7.628323411941528,1.906239641140584,21.09226023520669,2.7619419638981424,0.2794806957244873
24,3.5214211915930114,444.4333090305328,7.652466821670532,1.876545014539489,21.081586966605073,2.7663092418727397,0.27813196182250977
25,3.712902935842673,434.0105290412903,7.7554363250732425,1.9268894456721364,20.83291935954465,2.784858403056292,0.27551913261413574
26,3.6625338569283485,436.13316707611085,7.488133382797241,1.9137747665094627,20.883801547517894,2.736445391890224,0.2995641231536865
27,3.706655944387118,437.12502751350405,7.72464952468872,1.925267759140821,20.90753518503566,2.779325372224116,0.2971498966217041
28,3.46599160383145,454.12967410087583,7.994255256652832,1.861717380224896,21.31031848895919,2.8274114056240265,0.310255765914917
29,3.239821307361126,435.1515685558319,8.270633316040039,1.7999503624714561,20.860286876163325,2.875870879584137,0.30677199363708496
30,3.321848859389623,426.2024125099182,7.9184966564178465,1.8225939919218497,20.644670317297834,2.8139823482775874,0.4475729465484619
31,3.4774475917220116,443.43217141628264,8.222040128707885,1.8647915679029685,21.057829218993174,2.867410003593467,0.3303201198577881
