Epoch,Train_MSE,Val_MSE,Val_RMSE,Temps_s
1,5.323998785464563,4.708812819358623,2.1699799122016366,16.65792202949524
2,3.0890550869647586,2.1054664872517095,1.45102256607253,16.72165608406067
3,2.0838859493487347,2.053633521511176,1.4330504253204686,16.859238862991333
4,2.0470283777914315,2.0355533852337677,1.426728210008398,16.623755931854248
5,2.0131421356557686,1.971105971138611,1.4039608153857468,16.69301199913025
6,1.9453245289971894,1.904914196824359,1.3801862906232474,16.783890962600708
7,1.867127931006601,1.7901682741243705,1.3379717015409447,16.666873693466187
8,1.739307106098282,1.6585493675111054,1.2878467950463306,16.714287996292114
9,1.6098153541021258,1.5374257031862981,1.2399297170349206,16.72397208213806
10,1.515371072515149,1.4674331329275514,1.2113765446497433,16.822976112365723
11,1.4595600867939886,1.436441654983525,1.1985164391795071,16.748950004577637
12,1.4235869696207135,1.4056342820349699,1.185594484651042,16.703788995742798
13,1.4075758641011247,1.4024736464511012,1.184260801703367,16.698124885559082
14,1.3969961594198352,1.3799536903606398,1.1747143015902377,16.68964195251465
15,1.3925072634331535,1.3665418143027297,1.16899179394157,16.627315044403076
16,1.3755315258124163,1.3509418677503817,1.1623002485375205,16.659207105636597
17,1.3575266092737144,1.342720877379179,1.1587583343299754,16.703346967697144
18,1.3372134070530115,1.3291513682386586,1.152888272227044,16.789790868759155
19,1.3557319368157432,1.3255419450524812,1.1513218251438133,16.650547981262207
20,1.32319282761244,1.3050207622592973,1.1423750532374635,16.76081085205078
21,1.3084731051854999,1.2893273240982372,1.1354855014918672,16.745944261550903
22,1.31521621708558,1.2835183649489255,1.1329246951801013,16.732484817504883
23,1.2903758170448731,1.2659696762702455,1.1251531790250808,16.719828128814697
24,1.270669521572434,1.2597027849667122,1.1223648181258676,16.620145797729492
25,1.2691512642619767,1.2465107675084723,1.1164724660771856,16.773792028427124
26,1.251917172815198,1.2421783356901224,1.1145305449785226,16.67120599746704
27,1.2460489390052367,1.240912314156227,1.1139624383955804,16.795668125152588
28,1.2469298494196384,1.226100505251333,1.1072942270468735,16.7537841796875
29,1.2305412075229893,1.2150919283696702,1.1023120830189925,16.612389087677002
30,1.2187845979895546,1.207541356298411,1.0988818663980269,16.798666954040527
31,1.2154331558218627,1.2003331974531724,1.0955971875891122,16.875128030776978
32,1.2098565380149913,1.1911470566432332,1.0913968373800764,16.70667815208435
33,1.2025348026061726,1.1834438833294907,1.0878620699930164,16.840283155441284
34,1.192702118481431,1.1762642297441157,1.084557158357325,16.675822019577026
35,1.186263093881518,1.1679080867460956,1.080697962775028,16.728418827056885
36,1.1707212657571953,1.161638951712401,1.0777935570935655,16.65597701072693
37,1.1691476218054229,1.1591158614398163,1.076622432164506,16.89009404182434
38,1.1568168529840273,1.1484655378229707,1.0716648439801366,16.625760078430176
39,1.145238842919608,1.1374123258881759,1.0664953473354564,16.7414710521698
40,1.148692777780729,1.1389243088001124,1.0672039677587937,16.561577081680298
41,1.1347595096748566,1.1423249568128697,1.0687960314357785,16.761999130249023
42,1.1239550509185434,1.128234652680493,1.0621839071839174,16.843236923217773
43,1.1084159757489356,1.0919576282047223,1.0449677641940551,16.682922840118408
44,1.1007334322572868,1.0739609244166413,1.0363208597807154,16.77769708633423
45,1.073383317929562,1.0911356294266532,1.0445743771635667,16.774330139160156
46,1.0615748317442208,1.025288593441805,1.0125653526769545,16.615036964416504
47,1.0379911605442795,1.0107786559508505,1.0053748832902334,16.646904230117798
48,1.0183711971077964,1.0160360403498199,1.0079861310304918,16.835518836975098
49,0.9944598552222564,0.9729747981981975,0.9863948490326769,16.6498761177063
50,0.971652649830435,0.9481640006459066,0.9737371311837227,16.65703797340393
51,0.9430034078448732,0.9636822455153565,0.9816731867150883,16.733894109725952
52,0.9360607475320869,0.8981708515888063,0.9477187618638803,16.78556799888611
53,0.9403422831374908,0.8841923769023792,0.9403150413039127,16.66678214073181
54,0.9069890658432078,0.862596107281257,0.9287605220299026,16.663570880889893
55,0.9256966473343217,0.8704083668520657,0.9329567872372577,16.75682306289673
56,0.8495435489115314,0.8090226360396525,0.8994568561302162,16.749797105789185
57,0.8283859235104,0.8022093886648801,0.8956614252410785,16.736008882522583
58,0.8117193348496874,0.7724162281978284,0.8788721341570845,16.68654990196228
59,0.7812618916836854,0.7354848422980476,0.8576041291283802,16.822152137756348
60,0.7492580199353048,0.7082256947113114,0.8415614622303658,16.727061986923218
61,0.7315224364539173,0.6936454797581395,0.8328538165597487,16.76518487930298
62,0.7218240195902709,0.6642369635612051,0.8150073395750526,16.661593675613403
63,0.6928910590777887,0.6473724113986175,0.8045945633663065,16.86729907989502
64,0.6666477024555206,0.6463288942647871,0.8039458279416513,16.671947956085205
65,0.6617924584963611,0.6359745446901559,0.7974801218150556,16.940924167633057
66,0.6358717755179539,0.5990741279881413,0.7739987906890691,16.691738843917847
67,0.5977881199845644,0.5650882413610816,0.751723513907262,16.609281063079834
68,0.5817376223401488,0.5574468883389834,0.7466236591074404,16.79085111618042
69,0.5642561720353421,0.5576270783502852,0.7467443192621456,16.70285415649414
70,0.5630854868164686,0.5277678651047575,0.7264763348552776,16.674658060073853
71,0.5494515388925499,0.5424671879508228,0.7365237185256309,16.713151454925537
72,0.5461771883697153,0.5228742990016102,0.7231004764219218,16.67028498649597
73,0.5473882640912154,0.5111107113510022,0.7149200734005181,16.753976106643677
74,0.5287116488842206,0.5428117249317677,0.7367575754152567,16.745488166809082
75,0.527072053785636,0.49121910344948555,0.700870247228034,16.80806589126587
76,0.5112512966739797,0.49211167881839746,0.7015067204370871,16.777219772338867
77,0.5227372738245492,0.5224011862284947,0.7227732605931785,16.7564959526062
78,0.5159993854777836,0.5093323017631561,0.7136752074740695,16.769402027130127
79,0.5043155748710454,0.485311457878588,0.6966429916955944,16.811218976974487
80,0.5177701026479774,0.4929692275587156,0.7021176735837915,16.81978416442871
81,0.5020215284323024,0.46082940919185494,0.6788441715090842,16.647725820541382
82,0.48842547485761556,0.4563890180167542,0.6755657022205569,16.64804220199585
83,0.48033845758883753,0.4643501081051322,0.6814323943760908,16.725151538848877
84,0.4806318869379079,0.46298968446414884,0.6804334533693569,16.69601058959961
85,0.47781743290268375,0.44421928484323564,0.6664977755726088,16.713157892227173
86,0.4780822805712156,0.4487863920507169,0.669915212583441,16.74579405784607
87,0.461161520854335,0.4441648953394077,0.6664569718589548,16.809289932250977
88,0.46148645292932744,0.45405448047949054,0.6738356479732209,17.084868907928467
89,0.45463243057237607,0.4286978611652957,0.6547502280757874,16.962088108062744
90,0.45796897784571783,0.4375099233508319,0.6614453290717471,16.77730679512024
91,0.4480542356722823,0.4160987529642532,0.6450571703068289,16.786199808120728
92,0.4452283163772565,0.4216721125434492,0.6493628512191386,16.706182718276978
93,0.4488932614293054,0.4101770221273128,0.6404506398836001,16.899485111236572
94,0.4297197466698762,0.41324603208123106,0.6428421517614032,16.802199602127075
95,0.4404256232431002,0.4325328382846212,0.6576722879098839,16.741677045822144
96,0.4362836094381653,0.40084636245340666,0.6331242867347664,16.72796893119812
97,0.42866382768778044,0.41952965276698784,0.6477110874201458,16.71388006210327
98,0.4226878701804954,0.3941499040740603,0.6278135902272747,16.66915011405945
99,0.42041178270478113,0.4300212985966529,0.6557600922568046,16.738753080368042
100,0.4309086316378317,0.39363322788240196,0.6274019667505052,16.687505960464478
101,0.4580438770701952,0.38982479535391396,0.6243595080992312,16.683632135391235
102,0.41684397999371325,0.38440046100398506,0.6200003717772958,16.701699256896973
103,0.4102150675292327,0.3803698877307856,0.6167413458904678,16.707809925079346
104,0.40717288573211596,0.3848629636324455,0.6203732454195986,16.78337788581848
105,0.42008363685318245,0.38293765510528166,0.6188195658714111,16.772145986557007
106,0.4069615913050197,0.3852294603075449,0.6206685591421116,16.708954095840454
107,0.40496338513967034,0.38396723722934584,0.6196508994823987,16.731520891189575
108,0.3997676421270192,0.3845970788013155,0.6201589141512968,16.77593493461609
109,0.3975121399788099,0.3872102025339258,0.6222621654366637,16.63997793197632
110,0.3917333714872877,0.37132257327141466,0.6093624317853987,16.778870105743408
111,0.3929217814285064,0.37060491180169247,0.6087732844020772,16.754606008529663
112,0.38629587203542765,0.3739194576149789,0.6114895400699663,16.763702154159546
113,0.38446838582787557,0.3576107373130377,0.5980056331783487,16.786720037460327
114,0.38707111023853874,0.35566769833633,0.5963788211668235,16.59023690223694
115,0.39029276774865446,0.38073929250414407,0.617040754330007,16.69351816177368
116,0.38656030790271045,0.3506063773845122,0.5921202389587036,16.695542097091675
117,0.37635841715001617,0.3607143871312108,0.6005950275611769,16.760987997055054
118,0.3807043445723079,0.3602714543013233,0.6002261692906461,16.679059982299805
119,0.3754128053366581,0.3498745139723069,0.5915019137520241,16.780396938323975
120,0.3686989204627331,0.34098863572961535,0.5839423222627517,16.70867896080017
