Epoch,Train_MSE,Val_MSE,Val_RMSE,Temps_calcul_s
1,4.418470835017267,3.0403352897161637,1.7436557256855965,2.4617080688476562
2,2.4137532800157495,2.07675215271171,1.441094081839111,2.616926908493042
3,1.9763872581664648,1.8537552314244699,1.3615268015813975,2.8685786724090576
4,1.7736809654770611,1.6544114108954635,1.2862392510320402,2.7041661739349365
5,1.5561190202971484,1.4472920576406416,1.2030345205523578,2.7269198894500732
6,1.3935889183917893,1.3139449529976488,1.1462743794561792,2.7251670360565186
7,1.2492797759091743,1.1739816731103112,1.0835043484501163,2.7398409843444824
8,1.196586183298414,1.0971407572451597,1.0474448707426849,2.749511957168579
9,1.0533478159770788,0.9941194211698581,0.9970553751772557,2.7217631340026855
10,0.9733148005521186,0.9026380171390059,0.9500726378225014,2.7281742095947266
11,0.8739521191498943,0.8336687504757787,0.9130546262276856,2.7405519485473633
12,0.8165848973755524,0.7565051438025782,0.8697730415473787,2.735265016555786
13,0.7468795520122921,0.713331497822688,0.8445895439932275,2.724440813064575
14,0.7104561131134212,0.667430681637793,0.8169643086682508,2.7651491165161133
15,0.6584992219354505,0.6297623553426466,0.793575677136495,2.729353904724121
16,0.6405494889923345,0.589803050402726,0.7679863608181632,2.759397029876709
17,0.5944157802612982,0.5810107630721041,0.762240620192931,2.7551510334014893
18,0.5642981977663307,0.5435558153647129,0.737262378915887,2.7462897300720215
19,0.5638894023739289,0.5289990523847464,0.7273232103987515,2.7790780067443848
20,0.5248707634544818,0.49329843130136763,0.7023520707603613,2.753694772720337
21,0.5022521691623135,0.4856500622825088,0.6968859750938519,2.7461938858032227
22,0.4967640262340831,0.4713583278739564,0.6865554077231906,2.7478678226470947
23,0.47942320292241103,0.48131919913342064,0.6937717197561606,2.7476580142974854
24,0.4565406895686533,0.4337322539084147,0.6585835208296779,2.7863850593566895
25,0.44229168479687697,0.4323912264309197,0.6575646176847715,2.7641782760620117
26,0.4366283905561839,0.4071054672387159,0.6380481699987203,2.7544920444488525
27,0.42210846484821535,0.4223362354509463,0.6498740150605703,2.749501943588257
28,0.4096458483243657,0.39606243034250266,0.6293349111105332,2.7583398818969727
29,0.4080279319085807,0.3865074211400803,0.6216972101755647,2.7647039890289307
30,0.4060942552914129,0.3744334984292215,0.611909714279175,2.761622190475464
31,0.3809472900406222,0.3727364854834904,0.6105214865043576,2.759653091430664
32,0.37685336827117705,0.36368697651914345,0.6030646536808002,2.739898204803467
33,0.3730863481760025,0.4011997803871598,0.6334033315251506,2.765241861343384
34,0.3682417493557262,0.34810862415165544,0.5900073085578309,2.7785048484802246
35,0.3527835379833373,0.346356616834196,0.5885207021288172,2.750523805618286
36,0.35055828651535176,0.3457203974129162,0.5879799294303473,2.7465598583221436
37,0.3544623294723368,0.3285569316037347,0.5731988586901885,2.7605109214782715
