Epoch,Train_MSE,Val_MSE,Val_RMSE,Temps_s
1,5.547403698769685,5.274274258778613,2.2965788161477527,7.642717361450195
2,4.928563111296324,4.512488145231069,2.1242617882998953,7.585141181945801
3,3.737669832238527,2.795734094803996,1.6720448842073576,7.7167463302612305
4,2.350597188851544,2.129257268768465,1.4591974742194647,7.735436677932739
5,2.0951477500879876,2.061135355522421,1.4356654747964168,7.8128368854522705
6,2.061864080830155,2.032970596331163,1.425822778725029,7.646316051483154
7,2.0253162985650177,2.0051330329032147,1.4160272006226486,7.685697078704834
8,1.9988239457674115,1.97624675476941,1.405790437714459,7.723036050796509
9,1.9645673337383804,1.941980434982019,1.3935495810992944,7.751610994338989
10,1.9202321155048976,1.9024739707254361,1.3793019867764404,7.667300701141357
11,1.8869513551765513,1.8583301794236509,1.3632058463136265,7.7527971267700195
12,1.8412246804371057,1.8103407555755888,1.3454890395598134,7.941954135894775
13,1.7928007896815505,1.7531392617481891,1.32406165330327,6.115955114364624
14,1.7334481388608987,1.6978048128989813,1.302998393283346,4.828675985336304
15,1.676172569533375,1.6408837941762442,1.2809698646635854,4.8394269943237305
16,1.619171037852207,1.5875708130754043,1.2599884178338323,5.0239410400390625
17,1.5615995225505295,1.5321060595598732,1.23778271904235,7.599415063858032
18,1.5179766076747503,1.479731840925796,1.2164422883662818,7.852175712585449
19,1.4501688023593937,1.4285462712782009,1.1952180852372511,7.913373947143555
20,1.3944167990550818,1.3714882142702554,1.1711055521473097,7.790241003036499
21,1.3551264806328533,1.3358529501150702,1.1557910495046544,7.814644813537598
22,1.3236958969419248,1.3122140256531327,1.1455191075024165,7.79591703414917
23,1.3133059261001159,1.2892667923087828,1.1354588465940907,8.019059896469116
24,1.282086091063847,1.2722319821679147,1.1279326141963955,8.038335084915161
25,1.275549963255909,1.2575345640984652,1.1213984858641755,8.040629863739014
26,1.2526016045953625,1.2422074499392064,1.1145436061183098,7.976404905319214
27,1.2348857683556103,1.233754459698902,1.110745002103949,7.824828863143921
28,1.2249976608240716,1.2218975679270019,1.105394756603722,7.9277660846710205
29,1.2186868775670774,1.2102493622523045,1.1001133406391836,7.933183908462524
30,1.1993793237989194,1.1714220896154364,1.0823225441685285,7.8290441036224365
31,1.143294276199608,1.1307905835108223,1.0633863754585264,7.932564973831177
32,1.1246634593633849,1.1121338225692232,1.0545775564505548,7.808653831481934
33,1.1030513215287823,1.0901578183103109,1.0441062294184011,7.951317310333252
34,1.1616134604560995,1.0996642622435204,1.0486487792600154,7.983423948287964
35,1.0676973269921597,1.071605482025542,1.0351837914233115,7.796606063842773
36,1.071543642293627,1.0640766845894194,1.031540927248851,7.908344268798828
37,1.059370346715517,1.0657704973541131,1.0323616117204828,8.036895990371704
38,1.0651573739319204,1.0512840400023438,1.0253214325285236,8.006123065948486
39,1.0541087767788182,1.2037641844041993,1.0971618770282712,7.921525001525879
40,1.0539046537096255,1.0354292419887035,1.0175604365288105,7.9930760860443115
41,1.0346693196029306,1.034050025324398,1.0168825032049662,8.027924060821533
42,1.0319686286917358,1.0223776351695306,1.0111269134829368,7.892327785491943
43,1.132830876056279,1.026605559460749,1.0132154555970556,7.856958866119385
44,1.1242730138457824,1.0671799354881883,1.033044014303451,7.953920125961304
45,1.0194088805501706,1.0108691501718396,1.0054198874956868,8.057760000228882
46,0.9988689185860001,1.0017432334232275,1.0008712371844979,8.003951072692871
47,0.9920207977851975,0.9933367161793965,0.9966627896030815,7.825269460678101
