Epoch,Train_MSE,Val_MSE,Val_RMSE,Temps_s
1,5.377289083516486,4.748018251592729,2.178994780074686,16.433465003967285
2,3.1481133688276057,2.1572769729020163,1.4687671608876665,19.649930000305176
3,2.0982895744181125,2.067015549759859,1.4377119147311324,21.051143884658813
4,2.0698097075257347,2.053584070441043,1.4330331714377875,21.020836114883423
5,2.055543971952991,2.0280994303594126,1.4241135595026868,21.016095876693726
6,2.027955333763194,1.987738744573337,1.4098718894188,20.958497047424316
7,1.9714405893165374,1.9108581618867189,1.3823379333168568,21.023783922195435
8,1.8629081951123532,1.7821192315074605,1.3349603857446335,21.003416776657104
9,1.727540592166865,1.656938692467792,1.2872213067176101,20.961838245391846
10,1.6217851115164357,1.553641600482096,1.2464516037464495,21.002422094345093
11,1.5343697338460762,1.4878862479997572,1.2197894277291295,20.99787974357605
12,1.4761835932731628,1.4532017371504107,1.205488173791187,20.9935359954834
13,1.4549173584608275,1.4258528593405384,1.1940908086659652,20.94525384902954
14,1.4284080495344145,1.3913368125942265,1.179549410832046,20.610240936279297
15,1.3866829588034442,1.3732535197077511,1.1718590016327695,20.947938680648804
16,1.3750904876495076,1.328637093584114,1.1526652131404478,20.951990842819214
17,1.3225573707963818,1.2976188335881056,1.1391307359509293,20.860664129257202
18,1.2902984251485807,1.2442132100532546,1.1154430554955526,20.9114408493042
19,1.2167124792794202,1.1769600633322914,1.084877902499766,20.96648383140564
20,1.2938532353004562,1.1699689574121872,1.0816510331027227,20.959221124649048
21,1.1794559950026395,1.201824199860898,1.0962774283277468,20.94987392425537
22,1.1708336706473448,1.1265290723504306,1.0613807386373801,20.995416164398193
23,1.1297887636122304,1.1359805678513561,1.0658238915746616,20.991504907608032
24,1.1369600697098492,1.0949578810935823,1.0464023514373342,20.964241981506348
25,1.2234803911681487,1.5908729435406,1.2612981184242684,20.959707975387573
26,1.5462051980963378,1.4580087291999397,1.2074803224897455,21.00539493560791
27,1.4399215562321315,1.371198069634978,1.1709816692139028,20.986114025115967
28,1.3720940992096875,1.3291188101588844,1.1528741519172352,20.983114004135132
29,1.305257969927565,1.1468387602297503,1.070905579511915,20.97170090675354
30,1.1074559125944832,1.311889789685189,1.1453775751625266,20.979352235794067
31,1.1192656270811492,1.0435598588365818,1.0215477760910558,20.96032214164734
32,1.0402768282132728,1.0235934059057281,1.0117279307727587,20.923991918563843
33,1.0363778176708756,1.0188162509769758,1.0093642806127903,20.958198070526123
34,1.0376349960532143,1.014247822923429,1.0070987155802698,20.988593816757202
35,1.0291587805079523,1.0207117383028859,1.0103027953553756,20.97601580619812
36,1.1096066910529805,1.0580813717967439,1.0286308238608952,20.961071014404297
37,1.053106673688532,1.0301198384802892,1.0149481949736594,20.9722261428833
38,1.0294008293998576,0.9917641093379983,0.9958735408363847,20.973208904266357
39,1.0107170694342285,1.024970822602023,1.0124084267735147,20.950716972351074
40,1.0261023339824142,0.9849648175534801,0.9924539372451903,20.997618913650513
41,0.9964877631619712,0.9822496506341986,0.99108508748452,20.973690032958984
42,0.9965236515642326,0.9712798945327229,0.9855353339848972,20.983144760131836
43,1.3620250709703035,1.6485218594077033,1.2839477635043037,20.961485147476196
44,1.5765250291779778,1.4422112414874484,1.2009209971881782,20.946799278259277
45,1.4390507797214473,1.3388758727183967,1.1570980393719439,20.984631061553955
46,1.3319975471942225,1.2688162606731754,1.1264174451211129,20.974463939666748
47,1.2827228296582944,1.2322639848723589,1.1100738646019728,20.93690276145935
48,1.2375736448252312,1.2018594287823294,1.0962934957311063,21.00631809234619
49,1.2230941630969538,1.1853426034066166,1.0887344044378393,20.991854190826416
50,1.2027086782678265,1.167212102231439,1.0803759078355268,20.955204248428345
51,1.1848531276266152,1.1415430424717543,1.068430176694647,20.93554997444153
52,1.1517081645047553,1.115085434203393,1.055976057590035,20.954559087753296
53,1.1280000321218902,1.0819522869015965,1.0401693549137065,20.987903833389282
54,1.0982467370612599,1.0685603158705146,1.0337119114485014,20.938570022583008
55,1.0873364499796216,1.054700234800438,1.0269859954256622,20.948912143707275
56,1.0719005331814846,1.0425175807882692,1.021037502145866,21.00719904899597
57,1.0629233099589839,1.029927104502638,1.0148532428398886,20.95736312866211
58,1.044071601373013,1.0136091679543535,1.0067815890024776,20.96988081932068
59,1.0275670069957448,1.002878307887118,1.0014381198492086,20.964071035385132
60,1.0119138231901366,0.9874076097507343,0.993683858050806,20.96634078025818
