Epoch,Train_MSE,Val_MSE,Val_RMSE,Temps_calcul_s
1,4.282638682383243,2.9621938806479777,1.7211025189244182,1.8201227188110352
2,2.4502364413760533,2.158608883062256,1.4692205018520044,1.756516695022583
3,2.0526361576864653,1.9357513729656968,1.391312823546774,1.7545740604400635
4,1.8460642188508933,1.7338246712199996,1.3167477629447486,1.7485361099243164
5,1.6481921372012558,1.5401082199032061,1.2410109668746712,1.7558517456054688
6,1.4403092326404892,1.3440165156237434,1.1593172627127328,1.7559258937835693
7,1.3710437801396735,1.3523839635548192,1.1629204459268996,1.7469491958618164
8,1.3085521030648846,1.229553926979827,1.1088525271558103,1.7304420471191406
9,1.1897893748550772,1.1422823311012482,1.0687760902552266,1.7483389377593994
10,1.10976819902937,1.0729503738128137,1.0358331785634276,1.7580280303955078
11,1.041610884889264,1.0011729965700167,1.0005863263956871,1.7434601783752441
12,0.9900307477077591,0.9293118687781775,0.9640082306589387,1.7445518970489502
13,0.9214980056352704,0.8868769529475787,0.9417414469734136,1.747337818145752
14,0.855964875945421,0.7998975086086821,0.8943698947352164,1.7493810653686523
15,0.7965678285772555,0.7441742182404638,0.8626553299206259,1.7460272312164307
16,0.7413492389371462,0.7225547559280819,0.8500322087592223,1.7375319004058838
17,0.7066588100985945,0.6815795978513833,0.8255783414379179,1.7421672344207764
18,0.6714654926941773,0.6457261952841393,0.8035709024623399,1.7713110446929932
19,0.6511497993335545,0.6208139654144506,0.7879174864251018,1.7527430057525635
20,0.6294185204483639,0.6170963137367061,0.7855547808629938,1.7588129043579102
21,0.6100742752863982,0.5914160453270529,0.7690357893668233,1.7736027240753174
22,0.5816451403025155,0.5653688591147694,0.7519101403191537,1.7397549152374268
23,0.5678563131907276,0.5591992747351945,0.7477962788990024,1.7460520267486572
24,0.5415037218655381,0.5449868711843112,0.7382322610021261,1.8371961116790771
25,0.5304781471457437,0.5073012253182514,0.712250816298761,1.7698180675506592
26,0.5354308352292141,0.5392696513820474,0.7343498154027462,1.7567999362945557
27,0.5133874252020756,0.4882497710532674,0.6987487181049189,1.7707200050354004
28,0.5034466085032882,0.5179009225880988,0.7196533350079737,1.7504651546478271
29,0.4911700189113617,0.4900003044265453,0.7000002174474986,1.7435791492462158
30,0.48312472266571543,0.47118581887160504,0.686429762518792,1.7549009323120117
31,0.48577981978376333,0.45630480310766497,0.6755033701675107,1.756809949874878
32,0.479171964331208,0.45793010322290045,0.6767053296841251,1.7633788585662842
33,0.48830555421169675,0.4728754101860746,0.6876593707542089,1.7462728023529053
34,0.4562640318246645,0.4560936604774444,0.6753470666830829,1.7512848377227783
35,0.45171071018014,0.4336092089798963,0.65849009786017,1.782926082611084
36,0.44825068004777496,0.43561860316685425,0.6600140931577554,1.7722759246826172
37,0.43513213446207133,0.4255373551048965,0.6523322428831005,1.7516238689422607
38,0.42866204358706966,0.42555606163272236,0.6523465809159441,1.7674729824066162
39,0.4267852491586008,0.41727506672249776,0.6459683171197314,1.7534399032592773
40,0.4262188524007797,0.4620505444287697,0.6797429988082038,1.7852528095245361
41,0.424251032209842,0.4057707183202293,0.6370013487585637,1.7724649906158447
42,0.41529683754822916,0.4114402234902449,0.6414360634468917,1.7547471523284912
43,0.40456037334749634,0.39929472188526227,0.6318977147333754,1.7749848365783691
44,0.4109113106382227,0.3876795509360104,0.6226391819794274,1.7686519622802734
45,0.4283387418662276,0.38346922289684554,0.6192489183655031,1.7578821182250977
46,0.39177859804340615,0.3898456901938559,0.6243762408947476,1.7746641635894775
47,0.38920623676799165,0.37795704087921395,0.6147821084573086,1.7670478820800781
48,0.37593660092799464,0.3738273197315007,0.6114141965406926,1.7618927955627441
49,0.3818077043952229,0.3709273701098478,0.6090380695078492,1.7798857688903809
50,0.41019249324486634,0.375868519054395,0.6130811684062683,1.7464189529418945
51,0.38156717695365444,0.37038244108591123,0.6085905364741644,1.7610690593719482
52,0.3843074848997259,0.37200244721547465,0.6099200334596944,1.769361972808838
53,0.3746164226643393,0.3545745845849269,0.59546165668742,1.748918056488037
54,0.35809275967495463,0.35419622112378896,0.5951438659045298,1.8214600086212158
55,0.36018499620606964,0.35348664373855726,0.5945474276612063,1.7857999801635742
56,0.3585954820998361,0.3491147204049837,0.5908593067769887,1.7629377841949463
57,0.3607996128429876,0.351233959372077,0.592649946740972,1.807507038116455
58,0.3503243439943991,0.3396851310732766,0.582825129068125,1.7973589897155762
59,0.3434016827807248,0.3443144065127752,0.5867831000572317,1.7683448791503906
60,0.3424825186484328,0.3333090926720717,0.5773292757794911,1.7722249031066895
61,0.34049439959436933,0.33857544222585506,0.5818723590495213,1.7598228454589844
62,0.34126036467953264,0.3289459585864967,0.5735381056098162,1.766282081604004
63,0.3393697933615925,0.32749736692025283,0.5722738565758991,1.7967469692230225
64,0.3463315728390328,0.40011229515772,0.6325443029209259,1.7729318141937256
65,0.36886990098195654,0.33634253110841056,0.5799504557360142,1.7604868412017822
66,0.3296617798716108,0.3181638860047978,0.5640601794177619,1.8056378364562988
67,0.3293785121396323,0.3138022490681332,0.5601805504193564,1.7602529525756836
68,0.3211976901114544,0.30932596566103326,0.5561708061926959,1.7852680683135986
69,0.3347760947229706,0.33709923797678726,0.5806024784452675,1.7969629764556885
70,0.32364709132185604,0.3099558739879421,0.5567368085441649,1.7763550281524658
71,0.3153387019845927,0.30776368172090746,0.554764528174709,1.775679111480713
72,0.30852970745518943,0.3091918608504478,0.5560502323085998,1.7886297702789307
73,0.3121248398707292,0.31982364369747796,0.5655295250448715,1.7665209770202637
74,0.31720857823563514,0.30262178962475783,0.5501107066988952,1.7936069965362549
75,0.2977895281303709,0.30366675747192906,0.5510596677964457,1.8020758628845215
76,0.2967136109543738,0.2935899374571359,0.5418394019053394,1.76981520652771
77,0.29935849757395055,0.3049368665109728,0.5522108895258883,1.7952139377593994
78,0.2963852250130377,0.282589947909256,0.5315918997776923,1.7825181484222412
79,0.28366419227323797,0.2806007508014407,0.5297176142072686,1.7605280876159668
80,0.2749150225492281,0.2690414663439042,0.5186920727598449,1.8261761665344238
81,0.27187031284670965,0.2785357860587189,0.5277648965767986,1.7745997905731201
82,0.27885232684768246,0.26891283332326704,0.5185680604542349,1.773461103439331
83,0.26568480267702976,0.27483557237782213,0.5242476250569211,1.8187429904937744
84,0.2566871868672772,0.2496092190670076,0.49960906623780116,1.7758440971374512
85,0.3952086177941795,0.4935856438894695,0.7025565058338508,1.7739291191101074
86,0.30767416995819485,0.2598854401018296,0.5097896037600508,1.8069729804992676
87,0.256393396826548,0.2379074730327196,0.48775759659150325,1.7790911197662354
88,0.24223749590254276,0.2376284801932139,0.4874715173148211,1.7711527347564697
89,0.23379457372928333,0.25734122797289744,0.507288111405045,1.7912027835845947
90,0.2291298680634142,0.23257231367664916,0.4822575180094647,1.798098087310791
91,0.23228721445965989,0.22088387545859703,0.46998284591950484,1.7991909980773926
92,0.23402818076521437,0.2197640776007532,0.4687900143995744,1.8133091926574707
93,0.21724467063061545,0.2424566913918357,0.4923989148970941,1.7778990268707275
94,0.22516730956942121,0.2196475652472995,0.4686657286886886,1.7895150184631348
95,0.20862578336045007,0.20155639096955272,0.44895032127124346,1.764214038848877
96,0.199259548822296,0.20069367431591603,0.4479884756507873,1.7649378776550293
97,0.19470169478766272,0.19067074877218665,0.4366586181128075,1.8212800025939941
98,0.19160438231497168,0.18969332256189017,0.4355379691391902,1.7991969585418701
99,0.19625430024951418,0.1829018215257152,0.4276702252036202,1.7711918354034424
100,0.18399173933490415,0.19364166611405176,0.44004734530962886,1.810338020324707
101,0.18947444152887735,0.20747933944112787,0.45549900048312714,1.7486999034881592
102,0.20219875342935045,0.189350137295567,0.4351438121995612,1.7855079174041748
103,0.18857128841576176,0.1923652571042843,0.4385946387090069,1.815169095993042
104,0.1813782259961155,0.17292895655487187,0.4158472755169521,1.7776057720184326
105,0.19272173021998362,0.17015007542115507,0.41249251559410754,1.773507833480835
106,0.17212925182881755,0.16477693220443815,0.405927249891453,1.7877287864685059
107,0.17240368303294493,0.18976671485421814,0.435622215749172,1.7500290870666504
108,0.17590307270255046,0.16507060900678702,0.40628882461469085,1.7981791496276855
109,0.17313193390581094,0.1551083692950066,0.39383799879519826,1.8236689567565918
110,0.15942741164537233,0.15660042366204419,0.39572771404343693,1.7931270599365234
111,0.16422574312608934,0.15567405332123566,0.3945555136115014,1.7964379787445068
112,0.1617388143160633,0.1646244696854988,0.40573941105776107,1.7990138530731201
113,0.15638902233304264,0.16282180832507454,0.4035118440951573,1.7841789722442627
114,0.1682204860393132,0.16460812904776256,0.4057192736952024,1.8083159923553467
115,0.1571833261541117,0.15538770188446913,0.3941924680717138,1.799239158630371
116,0.16566763567590267,0.14430361658891785,0.37987315855284887,1.7851018905639648
117,0.2087378288123095,0.14885036043265712,0.385811301587521,1.8005990982055664
118,0.15879954752799508,0.14586113837208145,0.3819177115192243,1.7942490577697754
119,0.14834370944544534,0.1409838490675543,0.3754781605733605,1.7737529277801514
120,0.14374980170314558,0.1426015523584368,0.3776262071922933,1.8143229484558105
